twitter_id,label,__split
1424068476948426752,hope,train
1620051827252416512,hate,train
1620780054006611968,hate,val
1560298152170647552,hate,test
1322853833425461248,hate,train
1578983576686583808,hate,train
1429627326246100992,hate,train
1417088442358542336,none,train
1507725970450620416,hate,train
1601231342397595648,offensive,train
1376580449548525568,offensive,train
1599104118588469248,hate,val
1444603564098310144,hate,train
1343344315582599168,none,train
1295298990448218112,hate,train
1470108867774218240,offensive,train
1603159429213552640,none,test
1650470596789039104,none,val
1603449820257128448,hate,train
1618947326009315328,hope,train
1463721789666779136,offensive,train
1412441071028736000,none,train
1484647422970245120,offensive,train
1674840414736580608,hate,train
1549144481592758272,hope,test
1623994159034933248,hope,train
1617965212702998528,none,val
1338448107781173248,none,train
1671821129135054848,none,train
1496729786391146496,offensive,train
1581317573484097536,hate,train
1324864042159235072,offensive,train
1369317140537479168,offensive,train
1365693998191501312,none,test
1304687439693393920,none,val
1558413533779460096,hate,train
1507996738476412928,none,train
1305774239425998848,none,test
1305421126127017984,none,test
1633361920265682944,none,test
1587509849641914368,offensive,train
1361600571812241408,none,train
1465595189347725312,hate,train
1631222065054269440,none,train
1295826123025195008,hate,train
1603096695730237440,offensive,train
1325344734425001984,none,train
1353009766193385472,hate,train
1511756573307285504,offensive,train
1272395026186805248,none,train
1405225200820576256,offensive,test
1415253319069675520,none,val
1658608195370209280,offensive,train
1276138866798465024,none,train
1460413184959995904,hate,train
1320090415417102336,hope,train
1636963818730319872,offensive,test
1331861539234701312,hate,train
1602956809584648192,hope,train
1668577742718107648,offensive,test
1449768895854809088,offensive,train
1334890648487555072,hate,train
1356483341835509760,offensive,train
1489589935581581312,hate,train
1631659518739243008,hate,train
1351952250785115904,none,train
1442096585203146752,hate,train
1338468891262115840,offensive,train
1546754405004988416,hate,train
1543312753481351168,hate,val
1638745883893194752,offensive,train
1413332360221929472,offensive,train
1495649278324527104,hate,train
1595306692912218112,hate,train
1456849279922868224,offensive,train
1340356113334714368,offensive,test
1379430019320008704,offensive,train
1327242302360875008,none,train
1635940918959144960,none,train
1466318827667529728,offensive,val
1378106248588095488,offensive,train
1335282791072854016,hate,train
1322659835712856064,none,train
1334798324134711296,offensive,train
1309535903157714688,hate,train
1542464819282018304,hope,train
1382393955065729024,hate,val
1350532954683035648,hate,train
1422454186743156736,hate,train
1317534970232045568,offensive,train
1576091175572111360,offensive,train
1459432029548953600,offensive,train
1347030640596832256,offensive,train
1359955986031800320,hate,val
1342938382658375680,offensive,test
1377924546179792896,offensive,train
1483122395724632064,offensive,train
1595238485333626880,hate,test
1445326858111827968,hate,train
1326208370957758464,offensive,train
1641070782376812544,hate,train
1469325005335019520,offensive,train
1284846382675877888,none,val
1603812256134971392,hope,train
1571623815767015424,offensive,train
1491056007774367488,offensive,train
1677105193295527936,hate,train
1609849218100781056,offensive,train
1335205455027646464,hate,train
1614200216265146368,hate,val
1424916168121405440,none,train
1588402106717048832,hate,train
1441583667961384960,offensive,val
1483333160649830400,offensive,train
1469971210322776064,offensive,train
1446825078994477056,hope,train
1333425314438008832,hate,train
1382757036501438464,offensive,train
1639854600877490176,none,test
1327218793794465536,none,train
1281897989066432512,none,train
1608093550679363584,none,train
1285145432163835904,none,train
1602303627279966208,none,train
1574694589553729536,hate,train
1593412661521293312,hate,train
1450689288497246208,hate,val
1641161879992057856,hate,test
1597712534735564800,hate,train
1429297121484754944,hate,train
1278093860367990784,offensive,train
1328574945312563200,hate,train
1621487853770350592,hate,train
1442082697698938880,hate,train
1314689837258211328,hope,train
1423205795211235328,hate,val
1580343287549861888,hate,test
1649216434361204736,hate,train
1575882535820996608,none,test
1357193575524614144,none,train
1322414292398939904,none,train
1423570846711492608,none,train
1304400676848570368,none,train
1326253916900613888,offensive,train
1492173064066457600,offensive,test
1620846422399807488,hope,test
1543312539865546752,offensive,train
1415115791033376768,offensive,train
1428671225191149568,none,train
1339662048414863104,offensive,val
1353642515572944896,none,train
1390729815548993536,hate,train
1410312232173461504,offensive,train
1508722751242051584,offensive,test
1596269762962935808,none,train
1384024177187852288,offensive,val
1315803753434550272,hope,train
1429609427829764096,offensive,train
1381609897498918912,none,train
1577314597987651584,hate,train
1511420783779847936,offensive,train
1371508399867887616,hate,train
1417393333706674176,hope,train
1375507014072201216,offensive,test
1323354506621497088,hope,train
1328911292388831232,offensive,train
1434513016360423424,offensive,train
1451294628616019968,hate,train
1328412355403919104,none,test
1353009599486582784,none,train
1327535520495308800,none,test
1501394366925099008,offensive,train
1499415687797825536,none,test
1488579615111192576,hate,train
1542224695319318528,hate,train
1403018910241284096,offensive,val
1370449444156624896,offensive,train
1609606709189672960,offensive,train
1342047930379890688,hate,train
1661784667215867904,hope,train
1462913950371225600,none,test
1614563122513158144,hate,val
1318598026630483968,offensive,val
1573783221267046400,hate,train
1572725588858896384,offensive,val
1413604959707451136,offensive,train
